Dealer,Order Type,Exterior Material,Cabinet Interior,Drawer Box Type,Drawer Glide,Door Style,Finish Options,Number of Cabinets
2,Homestead Woods,Alder Select,136 Storm Grey Melamine,"PRO600 Full Extension, Undermount, Soft Close",5 Piece Solid Wood,Stain (LCWS),1
2,Jackson Hole Cabinets,Paint grade HDF,"55 Maple Melamine, Hard Rock","Blum Full Extension, Undermount, Soft Close",One Piece HDF,Paint (LCTS or LCP),1
2,Olivier Design,"Paint grade maple frame, MDF/HDF panel","55 Maple Melamine, Hard Rock","Blum Full Extension, Undermount, Soft Close",5 Piece Solid Wood,Paint (LCTS or LCP),1
2,Caruso Kitchens,"Paint grade maple frame, MDF/HDF panel","55 Maple Melamine, Hard Rock","Blum Full Extension, Undermount, Soft Close",5 Piece Solid Wood,Paint (LCTS or LCP),1
3,Vail Cabinets,"Oak, White, Select Rift Cut",None,None,5 Piece Solid Wood,"Stain (LCWS), Glaze, Standard (LCG)",1
3,The Flooring Place and Design Gallery,Alder Rustic,None,None,"Durango (7/8"" or 1"" thick)","Glaze, Standard (LCG), Paint (LCTS or LCP), Rub through, Darkened - medium",2
1,New Mountain Design,"Rehau, Noir, Gaslit Alley, Matte *154712* *SPECIAL ORDER*",108 Folkstone Melamine,"Blum Full Extension, Undermount, Soft Close","Solid Color, Melamine, Laminate, Acrylic",,39
1,New Mountain Design,"Fir Reclaimed, Clean faced *SPECIAL ORDER*",108 Folkstone Melamine,"Blum Full Extension, Undermount, Soft Close","Durango (7/8"" or 1"" thick)","Glaze, Standard (LCG), Paint (LCTS or LCP), 220 Scuff, Burnishing, Masking, Rub through - Light, Weathered paint",13
1,Kitchens Plus,"Oak, White, Select Rift Cut",04 Natural Maple Melamine,"Blum Full Extension, Undermount, Soft Close",5 Piece Solid Wood,"Glaze, Standard (LCG)",17
2,Cabinets West,Egger H1180 Natural Halifax Oak (5x9),701 American Black Walnut Melamine,"Blum Full Extension, Undermount, Soft Close","Vertical Grain, Melamine, Laminate, Acrylic",,4
2,Inspire,"Oak, White, Select Plain Sliced","55 Maple Melamine, Hard Rock","Blum Full Extension, Undermount, Soft Close","Slab, Scalloped Wood Face, Vertical Grain, Eng Core, Veneer Edge",Briwax,1
3,Inspire,"Paint grade maple frame, MDF/HDF panel",None,None,5 Piece Solid Wood,Paint (LCTS or LCP),2
1,Blush Kitchens,"Paint grade maple frame, MDF/HDF panel",701 American Black Walnut Melamine,"Blum Full Extension, Undermount, Soft Close",Applied Molding on 5 Piece Door,"Glaze, Standard (LCG), Paint (LCTS or LCP), 220 Scuff",21
3,JM Kitchen and Bath Design,"Oak, White, Select Rift Cut",None,None,5 Piece Solid Wood,"Glaze, Standard (LCG)",1
3,Aspen Cabinets LLC,!CLEAF LM67 Aspen Oak,None,None,"Vertical Grain, Melamine, Laminate, Acrylic",,1
3,Inspire,Paint grade HDF,None,None,One Piece HDF,Paint (LCTS or LCP),2
2,Inspire,Alder Select,"55 Maple Melamine, Hard Rock","PRO600 Full Extension, Undermount, Soft Close",5 Piece Solid Wood,"Stain (LCWS), Glaze, Standard (LCG), Grain popper",1
3,Homestead Woods,Querkus Vivace Scratched (4x8) *SPECIAL ORDER*,None,None,"Veneer, Vertical Grain","Stain (LCWS), Glaze, Standard (LCG)",1
1,The Flooring Place and Design Gallery,"White 1982, Gloss",291 White Melamine,"Blum Full Extension, Undermount, Soft Close","Solid Color, Melamine, Laminate, Acrylic",,4
1,Vail Cabinets,Alder Rustic,"55 Maple Melamine, Hard Rock","PRO600 Full Extension, Undermount, Soft Close",5 Piece Solid Wood,Stain (LCWS),11
1,Distinctive Cabinetry,Maverik Old Mill Oak,291 White Melamine,"PRO600 Full Extension, Undermount, Soft Close","Laminate, Horizontal Grain Maverik",,4
